,submission_id,itemID,type,setting,region,avg_rt,phrase,phrase_length,speakerKnowledge,is_a_quantifier,item_has_a_scalar_trigger_sentence,triggerType
0,3409,24,trigger,scalar,1_s_quantifier,251.5,Some of my stocks went up.,6.0,partial,no,yes,scalar
1,3409,24,trigger,scalar,2_s_ntw_1,281.5,Some of my stocks went up.,6.0,partial,no,yes,scalar
2,3409,24,trigger,scalar,3_s_ntw_2,311.5,Some of my stocks went up.,6.0,partial,no,yes,scalar
3,3409,24,continuation,cancelation,cancelation_1,285.5,"In fact, they all did but my portfolio was still down for the year.",14.0,partial,no,yes,scalar
4,3409,24,continuation,cancelation,cancelation_2,248.0,"In fact, they all did but my portfolio was still down for the year.",14.0,partial,no,yes,scalar
5,3409,24,continuation,cancelation,cancelation_3,231.0,"In fact, they all did but my portfolio was still down for the year.",14.0,partial,no,yes,scalar
6,3409,24,continuation,cancelation,cancelation_4,271.0,"In fact, they all did but my portfolio was still down for the year.",14.0,partial,no,yes,scalar
7,3409,23,trigger,scalar,1_s_quantifier,281.5,Some of the words sounded like they do in English.,10.0,partial,no,yes,scalar
8,3409,23,trigger,scalar,2_s_ntw_1,293.0,Some of the words sounded like they do in English.,10.0,partial,no,yes,scalar
9,3409,23,trigger,scalar,3_s_ntw_2,275.5,Some of the words sounded like they do in English.,10.0,partial,no,yes,scalar
10,3409,23,continuation,cancelation,cancelation_1,303.0,"In fact, they all did which made the test somewhat easier.",11.0,partial,no,yes,scalar
11,3409,23,continuation,cancelation,cancelation_2,269.5,"In fact, they all did which made the test somewhat easier.",11.0,partial,no,yes,scalar
12,3409,23,continuation,cancelation,cancelation_3,261.0,"In fact, they all did which made the test somewhat easier.",11.0,partial,no,yes,scalar
13,3409,23,continuation,cancelation,cancelation_4,253.0,"In fact, they all did which made the test somewhat easier.",11.0,partial,no,yes,scalar
14,3409,22,trigger,scalar,1_s_quantifier,271.5,Some of their losses were close.,6.0,partial,no,yes,scalar
15,3409,22,trigger,scalar,2_s_ntw_1,268.0,Some of their losses were close.,6.0,partial,no,yes,scalar
16,3409,22,trigger,scalar,3_s_ntw_2,260.5,Some of their losses were close.,6.0,partial,no,yes,scalar
17,3409,22,continuation,complement,1_anaphor,355.0,The others were blowouts which made the games boring to watch.,11.0,partial,no,yes,scalar
18,3409,22,continuation,complement,2_predicate,256.0,The others were blowouts which made the games boring to watch.,11.0,partial,no,yes,scalar
19,3409,22,continuation,complement,3_clause_boundary,261.0,The others were blowouts which made the games boring to watch.,11.0,partial,no,yes,scalar
20,3409,22,continuation,complement,4_next_two_words,250.5,The others were blowouts which made the games boring to watch.,11.0,partial,no,yes,scalar
21,3409,20,trigger,scalar,1_s_quantifier,247.0,Some of the honors students received prizes.,7.0,full,no,yes,scalar
22,3409,20,trigger,scalar,2_s_ntw_1,232.5,Some of the honors students received prizes.,7.0,full,no,yes,scalar
23,3409,20,trigger,scalar,3_s_ntw_2,257.0,Some of the honors students received prizes.,7.0,full,no,yes,scalar
24,3409,20,continuation,cancelation,cancelation_1,278.5,"In fact, they all did because the teachers didn’t want any of them to feel left out.",17.0,full,no,yes,scalar
25,3409,20,continuation,cancelation,cancelation_2,260.5,"In fact, they all did because the teachers didn’t want any of them to feel left out.",17.0,full,no,yes,scalar
26,3409,20,continuation,cancelation,cancelation_3,253.0,"In fact, they all did because the teachers didn’t want any of them to feel left out.",17.0,full,no,yes,scalar
27,3409,20,continuation,cancelation,cancelation_4,288.0,"In fact, they all did because the teachers didn’t want any of them to feel left out.",17.0,full,no,yes,scalar
28,3409,12,trigger,scalar,1_s_quantifier,284.5,Some of the dog’s teeth were missing.,7.0,partial,no,yes,scalar
29,3409,12,trigger,scalar,2_s_ntw_1,278.5,Some of the dog’s teeth were missing.,7.0,partial,no,yes,scalar
30,3409,12,trigger,scalar,3_s_ntw_2,278.5,Some of the dog’s teeth were missing.,7.0,partial,no,yes,scalar
31,3409,12,continuation,cancelation,cancelation_1,270.5,"In fact, they all were because its owners completely neglected its oral hygiene.",13.0,partial,no,yes,scalar
32,3409,12,continuation,cancelation,cancelation_2,241.5,"In fact, they all were because its owners completely neglected its oral hygiene.",13.0,partial,no,yes,scalar
33,3409,12,continuation,cancelation,cancelation_3,274.0,"In fact, they all were because its owners completely neglected its oral hygiene.",13.0,partial,no,yes,scalar
