submission_id,correct_answer,experiment_duration,experiment_end_time,experiment_start_time,itemID,phrase,phrase_length,qud,question,response,response_time,setting,times,type
3280,NA,814944,1645733172356,1645732357412,1f,"Yesterday, I went out to buy some bread.",8,NA,NA,NA,5257,filler,594|389|347|413|315|269|315|301,context
3280,NA,814944,1645733172356,1645732357412,1f,"On my way, I met my good friend Karl.",9,NA,NA,NA,9502,filler,421|347|365|355|357|475|413|419|493,trigger
3280,NA,814944,1645733172356,1645732357412,1f,"He told me, he hates bread.",6,NA,NA,NA,12128,filler,386|310|325|275|356|316,continuation
3280,no,814944,1645733172356,1645732357412,1ftrial,NA,NA,,Does Karl like bread?,no,1840,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,3,"This morning, I heard about an important meeting with the manager.",11,NA,NA,NA,6387,partial,420|436|372|371|373|355|526|426|454|378|677,context
3280,NA,814944,1645733172356,1645732357412,3,Some of the company’s accountants were there.,7,NA,NA,NA,13091,scalar,461|411|350|587|1028|515|2614,trigger
3280,NA,814944,1645733172356,1645732357412,3,The rest were missing because they had to audit the company’s finances before the end of the quarter.,18,NA,NA,NA,23179,complement,434|374|683|412|756|629|387|445|507|381|547|517|467|493|603|437|451|597,continuation
3280,yes,814944,1645733172356,1645732357412,3,NA,NA,,Did the manager have a meeting with any of the accountants?,yes,3418,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,9f,Yesterday I went to a Led Zeppelin concert.,8,NA,NA,NA,7811,filler,483|381|404|428|779|1805|939|1317,context
3280,NA,814944,1645733172356,1645732357412,9f,I only go to see bands that I really like. They played for about an hour.,16,NA,NA,NA,15006,filler,486|418|413|443|405|426|381|395|397|363|428|380|405|427|404|428,trigger
3280,yes,814944,1645733172356,1645732357412,9f,NA,NA,,Do I like Led Zeppelin? ,no,6682,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,11,"After my house was burglarized, I carefully inventoried my wine collection.",11,NA,NA,NA,8620,full,835|421|340|364|1755|373|379|381|619|381|507,context
3280,NA,814944,1645733172356,1645732357412,11,Only some of the bottles of Chardonnay were missing.,9,NA,NA,NA,13921,focused,453|363|301|323|301|331|373|539|1197,trigger
3280,NA,814944,1645733172356,1645732357412,11,The rest were safe but I was still extremely upset.,10,NA,NA,NA,18349,complement,405|379|405|339|325|355|341|315|373|467,continuation
3280,no,814944,1645733172356,1645732357412,11,NA,NA,,Were all of my bottles of wine safe in the basement?,no,4384,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,17f,I got sick with a cold over the weekend.,9,NA,NA,NA,4732,filler,399|765|354|477|315|348|323|316|306,context
3280,NA,814944,1645733172356,1645732357412,17f,I am still taking decongestants.,5,NA,NA,NA,9762,filler,292|291|340|340|2941,trigger
3280,no,814944,1645733172356,1645732357412,17f,NA,NA,,Am I well yet? ,no,2773,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,8,"After the furniture sale, I catalogued all the merchandise in the store.",12,NA,NA,NA,6769,full,307|309|339|365|771|349|523|342|786|413|427|989,context
3280,NA,814944,1645733172356,1645732357412,8,Only some of the leather couches had been sold.,9,NA,NA,NA,10913,focused,413|315|309|339|277|339|501|387|405,trigger
3280,NA,814944,1645733172356,1645732357412,8,The rest were going to be stored in the warehouse until the following season.,14,NA,NA,NA,17113,complement,243|277|515|325|299|405|347|357|395|341|427|397|435|549,continuation
3280,no,814944,1645733172356,1645732357412,8,NA,NA,,Had all of the leather couches been sold out before the furniture sale?,no,4860,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,6f,When I arrived in the parking lot today I saw an expensive red Ferrari.,14,NA,NA,NA,6867,filler,539|340|307|381|316|332|364|949|451|364|612|404|451|406,context
3280,NA,814944,1645733172356,1645732357412,6f,When I left for lunch it was gone.,8,NA,NA,NA,10338,filler,316|324|308|340|331|357|331|365,trigger
3280,no,814944,1645733172356,1645732357412,6f,NA,NA,,Was the Ferrari black? ,no,3348,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,5f,Each week I write normally one response paper.,8,NA,NA,NA,3586,filler,357|299|355|301|349|283|347|525,context
3280,NA,814944,1645733172356,1645732357412,5f,This week I wrote two.,5,NA,NA,NA,6048,filler,404|244|347|341|332,trigger
3280,NA,814944,1645733172356,1645732357412,5f,One was for psychology and another was for classics.,9,NA,NA,NA,10285,filler,331|372|323|373|339|324|387|317|403,continuation
3280,yes,814944,1645733172356,1645732357412,5f,NA,NA,,Did I write more papers than usual this week? ,yes,3483,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,16f,I enjoy driving my car when I am home from school.,11,NA,NA,NA,4386,filler,284|276|259|294|314|278|291|316|355|365|355,context
3280,NA,814944,1645733172356,1645732357412,16f,"Motorcycles use less fuel, but they are more dangerous.",9,NA,NA,NA,9460,filler,675|318|339|469|498|381|331|356|731,trigger
3280,no,814944,1645733172356,1645732357412,16f,NA,NA,,Would I rather be more fuel efficient? ,yes,11151,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,3f,"Yesterday, I brought a girl back home, after watching a sports game together.",13,NA,NA,NA,5516,filler,355|325|364|380|395|317|307|309|323|325|339|333|372,context
3280,NA,814944,1645733172356,1645732357412,3f,"She invited me to got upstairs to drink a coffee, after we arrived at her home.",16,NA,NA,NA,11500,filler,317|260|284|283|277|291|461|315|342|314|293|324|456|368|308|331,trigger
3280,NA,814944,1645733172356,1645732357412,3f,"However, I don't like coffee, so I went back home",10,NA,NA,NA,16116,filler,333|307|598|483|332|380|332|371|309|419,continuation
3280,no,814944,1645733172356,1645732357412,3f,NA,NA,,Did we watch a movie at the cinema?,yes,4105,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,7,"Earlier today, I passed by a group of tourists looking at sights downtown.",13,NA,NA,NA,5108,partial,356|300|356|287|329|349|307|316|300|412|355|309|403,context
3280,NA,814944,1645733172356,1645732357412,7,Some of the tourists got soaked by the rain storm.,10,NA,NA,NA,9189,scalar,308|364|285|347|332|347|357|363|333|315,trigger
3280,NA,814944,1645733172356,1645732357412,7,"In fact, they all did because they had forgotten their umbrellas.",11,NA,NA,NA,14387,cancelation,285|315|325|298|318|355|413|355|349|347|1125,continuation
3280,no,814944,1645733172356,1645732357412,7,NA,NA,,Have all tourists managed to stay dry during the rainstorm?,no,3948,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,5,"At my client’s request, I meticulously compiled the investment report.",10,NA,NA,NA,4259,full,341|339|355|326|370|317|403|413|356|436,context
3280,NA,814944,1645733172356,1645732357412,5,Only some of the real estate investments lost money.,9,NA,NA,NA,8068,focused,307|277|330|341|371|333|364|373|370,trigger
3280,NA,814944,1645733172356,1645732357412,5,The others were successful despite the recent economic downturn.,9,NA,NA,NA,12521,complement,316|299|421|459|388|644|300|444|428,continuation
3280,no,814944,1645733172356,1645732357412,5,NA,NA,,Did all real estate investments increase in value in spite an the economic downturn?,no,5036,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,14,"To check on the progress of my research, I quickly scanned the experiments in the lab.",16,NA,NA,NA,6765,partial,373|324|324|355|326|362|309|339|365|323|333|523|357|363|341|459,context
3280,NA,814944,1645733172356,1645732357412,14,Only some of my predictions were correct.,7,NA,NA,NA,10381,focused,347|349|346|333|395|317|458,trigger
3280,NA,814944,1645733172356,1645732357412,14,The rest were wrong so my theory must be mistaken.,10,NA,NA,NA,15109,complement,253|378|638|443|341|347|405|371|333|387,continuation
3280,yes,814944,1645733172356,1645732357412,14,NA,NA,,Were any of my predictions confirmed by my research?,no,5458,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,1,I carefully inspected the new shipment of jewelry.,8,NA,NA,NA,4051,full,371|325|331|429|340|316|419|357,context
3280,NA,814944,1645733172356,1645732357412,1,Some of the gold watches were fakes.,7,NA,NA,NA,7918,scalar,370|349|372|340|364|612|666,trigger
3280,NA,814944,1645733172356,1645732357412,1,"In fact, they all were, so the company is planning to sue.",12,NA,NA,NA,13453,cancelation,420|308|372|355|357|347|324|668|364|349|387|396,continuation
3280,yes,814944,1645733172356,1645732357412,1,NA,NA,,Did the new shipment of jewelery contain gold watches that were fake?,yes,4573,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,18,"At a friend’s suggestion, I read a review of a new math textbook.",13,NA,NA,NA,5640,partial,392|332|605|284|427|309|355|317|338|317|331|349|355,context
3280,NA,814944,1645733172356,1645732357412,18,Some of its problems were difficult.,6,NA,NA,NA,8648,scalar,309|331|294|330|597|411,trigger
3280,NA,814944,1645733172356,1645732357412,18,The others were straightforward and I feel like I learned a lot.,12,NA,NA,NA,13608,complement,301|323|317|363|485|363|325|363|341|315|357|355,continuation
3280,yes,814944,1645733172356,1645732357412,18,NA,NA,,Have there been difficult problems within the textbook?,yes,2693,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,15,"When they returned, I reviewed each of the receipts for my family’s trip to Europe.",15,NA,NA,NA,9678,full,387|333|378|349|411|373|427|349|347|405|299|357|283|301|323,context
3280,NA,814944,1645733172356,1645732357412,15,Some of their hotels were expensive.,6,NA,NA,NA,12678,scalar,325|379|309|323|397|323,trigger
